t,hour,acc,acc_true,T_deck,T_air,wind,turbulence,traffic_rate,exc_rms,damage,regime,f1,f2,a1,a2,a3,a4
4.75,0.1583333,0.002420782,0.002550246,6.108831,6.083026,2.670235,0.1145243,50.0685,0.002025092,0,0,2.023355,6.046708,0.9730705,-0.9177867,0.8681566,-0.9093231
4.8,0.16,0.002205804,0.001283452,6.108791,6.078591,2.671781,0.1147984,50.06866,0.002035027,0,0,2.023355,6.046708,0.9730701,-0.9177863,0.8681562,-0.9093231
4.85,0.1616667,-0.002870542,-0.002581414,6.108751,6.074157,2.673327,0.1150724,50.06882,0.002041571,0,0,2.023355,6.046709,0.9730698,-0.9177859,0.8681558,-0.9093231
4.9,0.1633333,0.0001375951,5.949048e-05,6.108711,6.069723,2.674873,0.1153465,50.06899,0.00204146,0,0,2.023355,6.046709,0.9730694,-0.9177856,0.8681555,-0.909323
4.95,0.165,0.001157368,0.001145324,6.108671,6.065289,2.676419,0.1156205,50.06915,0.002064481,0,0,2.023356,6.04671,0.9730691,-0.9177852,0.8681551,-0.909323
5,0.1666667,-0.002406525,-0.002708965,6.108631,6.060855,2.677965,0.1158945,50.06931,0.002078985,0,0,2.023356,6.04671,0.9730687,-0.9177848,0.8681548,-0.909323
5.05,0.1683333,-0.002290743,-0.001715887,6.108589,6.060636,2.667855,0.1156036,50.06948,0.002089057,0,0,2.023356,6.046711,0.9730683,-0.9177844,0.8681544,-0.909323
5.1,0.17,0.001870218,0.001188721,6.108548,6.060417,2.657744,0.1153126,50.06965,0.002095674,0,0,2.023356,6.046711,0.9730679,-0.917784,0.868154,-0.909323
5.15,0.1716667,0.0006355822,0.0008220548,6.108506,6.060199,2.647633,0.1150217,50.06981,0.002107025,0,0,2.023357,6.046712,0.9730676,-0.9177836,0.8681536,-0.909323
5.2,0.1733333,0.0002440879,-0.0001524779,6.108465,6.05998,2.637522,0.1147307,50.06998,0.002117242,0,0,2.023357,6.046712,0.9730672,-0.9177832,0.8681533,-0.909323
5.25,0.175,0.003487867,0.003413516,6.108423,6.059762,2.627411,0.1144398,50.07015,0.002124694,0,0,2.023357,6.046713,0.9730668,-0.9177828,0.8681529,-0.909323
5.3,0.1766667,0.002710114,0.002484535,6.108382,6.059543,2.6173,0.1141488,50.07031,0.002124639,0,0,2.023357,6.046713,0.9730664,-0.9177824,0.8681525,-0.909323
5.35,0.1783333,-0.002911168,-0.003722915,6.10834,6.059324,2.607189,0.1138579,50.07048,0.002122119,0,0,2.023358,6.046714,0.973066,-0.917782,0.8681522,-0.909323
5.4,0.18,-0.00375171,-0.002696056,6.108299,6.059106,2.597079,0.1135669,50.07065,0.002118663,0,0,2.023358,6.046714,0.9730657,-0.9177816,0.8681518,-0.909323
5.45,0.1816667,0.0003864411,5.874105e-05,6.108258,6.058887,2.586968,0.113276,50.07081,0.002128472,0,0,2.023358,6.046715,0.9730653,-0.9177812,0.8681514,-0.909323
5.5,0.1833333,-0.001163643,-0.00151901,6.108216,6.058668,2.576857,0.112985,50.07098,0.002126803,0,0,2.023358,6.046715,0.9730649,-0.9177808,0.868151,-0.909323
5.55,0.185,-0.00215468,-0.001711118,6.108049,6.043525,2.581627,0.1146946,50.07115,0.002121708,0,0,2.023359,6.046717,0.9730634,-0.9177791,0.8681495,-0.9093229
5.6,0.1866667,0.001287938,0.002342308,6.107883,6.028383,2.586397,0.1164042,50.07132,0.002117965,0,0,2.02336,6.046719,0.9730619,-0.9177775,0.868148,-0.9093229
5.65,0.1883333,0.003529026,0.003612693,6.107716,6.01324,2.591167,0.1181137,50.07149,0.002138659,0,0,2.023361,6.046721,0.9730604,-0.9177759,0.8681465,-0.9093229
5.7,0.19,0.0009388078,0.0004600621,6.107549,5.998097,2.595937,0.1198233,50.07166,0.002138458,0,0,2.023362,6.046723,0.9730588,-0.9177743,0.868145,-0.9093228
5.75,0.1916667,0.002457524,0.001745486,6.107382,5.982954,2.600707,0.1215329,50.07183,0.002141081,0,0,2.023363,6.046725,0.9730573,-0.9177727,0.8681435,-0.9093228
5.8,0.1933333,5.239548e-05,0.001245624,6.107215,5.967812,2.605478,0.1232425,50.072,0.002146341,0,0,2.023364,6.046727,0.9730558,-0.9177711,0.868142,-0.9093228
5.85,0.195,-0.002751384,-0.002737389,6.107049,5.952669,2.610248,0.124952,50.07217,0.002147679,0,0,2.023365,6.046729,0.9730543,-0.9177695,0.8681405,-0.9093227
5.9,0.1966667,-0.001915887,-0.002157227,6.106882,5.937526,2.615018,0.1266616,50.07234,0.002139251,0,0,2.023366,6.046731,0.9730528,-0.9177678,0.868139,-0.9093227
5.95,0.1983333,-0.001568936,-0.002544652,6.106715,5.922383,2.619788,0.1283712,50.07251,0.002137325,0,0,2.023367,6.046733,0.9730513,-0.9177662,0.8681375,-0.9093227
6,0.2,-0.001767131,-0.001651917,6.106548,5.90724,2.624558,0.1300808,50.07268,0.002134443,0,0,2.023368,6.046735,0.9730497,-0.9177646,0.868136,-0.9093226
6.05,0.2016667,0.0004414764,0.0005221337,6.106368,5.905465,2.627751,0.1293361,50.07286,0.002130226,0,0,2.023369,6.046737,0.9730481,-0.9177629,0.8681344,-0.9093226
6.1,0.2033333,9.176163e-05,0.0005830219,6.106188,5.90369,2.630943,0.1285914,50.07303,0.002137532,0,0,2.023371,6.04674,0.9730465,-0.9177611,0.8681328,-0.9093226
6.15,0.205,0.002718027,0.002927458,6.106008,5.901914,2.634136,0.1278467,50.07321,0.002138123,0,0,2.023372,6.046742,0.9730448,-0.9177594,0.8681312,-0.9093225
6.2,0.2066667,0.002199029,0.002293331,6.105828,5.900139,2.637328,0.127102,50.07338,0.002136004,0,0,2.023373,6.046744,0.9730432,-0.9177576,0.8681295,-0.9093225
6.25,0.2083333,0.0008315899,0.0006862345,6.105648,5.898364,2.640521,0.1263573,50.07356,0.00213665,0,0,2.023374,6.046746,0.9730415,-0.9177559,0.8681279,-0.9093225
6.3,0.21,0.001959008,0.002630506,6.105467,5.896588,2.643713,0.1256127,50.07373,0.002139699,0,0,2.023375,6.046748,0.9730399,-0.9177541,0.8681263,-0.9093224
6.35,0.2116667,-0.0008973807,-0.0007431819,6.105287,5.894813,2.646906,0.124868,50.0739,0.002139666,0,0,2.023376,6.04675,0.9730383,-0.9177524,0.8681247,-0.9093224
6.4,0.2133333,-0.004575096,-0.005028564,6.105107,5.893037,2.650098,0.1241233,50.07408,0.002139271,0,0,2.023377,6.046753,0.9730366,-0.9177507,0.8681231,-0.9093224
6.45,0.215,-0.002176721,-0.0009449222,6.104927,5.891262,2.653291,0.1233786,50.07425,0.002139447,0,0,2.023378,6.046755,0.973035,-0.9177489,0.8681214,-0.9093223
6.5,0.2166667,-0.001038455,-0.0007333359,6.104747,5.889487,2.656484,0.1226339,50.07443,0.002138784,0,0,2.023379,6.046757,0.9730333,-0.9177472,0.8681198,-0.9093223
6.55,0.2183333,-0.005347734,-0.004808209,6.1045,5.881242,2.645262,0.1226967,50.0746,0.002138523,0,0,2.023381,6.04676,0.9730311,-0.9177448,0.8681176,-0.9093222
6.6,0.22,0.0005129781,-4.29965e-05,6.104253,5.872998,2.63404,0.1227594,50.07478,0.00213973,0,0,2.023382,6.046763,0.9730288,-0.9177424,0.8681154,-0.9093222
6.65,0.2216667,0.006416794,0.005781585,6.104006,5.864754,2.622818,0.1228222,50.07496,0.00213714,0,0,2.023384,6.046766,0.9730266,-0.91774,0.8681132,-0.9093222
6.7,0.2233333,0.001993627,0.002430915,6.103759,5.85651,2.611596,0.122885,50.07514,0.002133411,0,0,2.023385,6.046769,0.9730243,-0.9177376,0.8681109,-0.9093221
6.75,0.225,-0.0005258309,-0.0003441396,6.103512,5.848265,2.600374,0.1229477,50.07532,0.002113962,0,0,2.023387,6.046772,0.9730221,-0.9177352,0.8681087,-0.9093221
6.8,0.2266667,0.003796067,0.004705831,6.103265,5.840021,2.589153,0.1230105,50.0755,0.002114055,0,0,2.023388,6.046775,0.9730198,-0.9177328,0.8681065,-0.909322
6.85,0.2283333,0.0008418586,0.001531822,6.103018,5.831777,2.577931,0.1230732,50.07567,0.002117688,0,0,2.02339,6.046778,0.9730176,-0.9177304,0.8681043,-0.909322
6.9,0.23,-0.006459157,-0.006374862,6.10277,5.823533,2.566709,0.123136,50.07585,0.002123764,0,0,2.023391,6.046781,0.9730153,-0.917728,0.868102,-0.9093219
6.95,0.2316667,-0.003105241,-0.002702215,6.102523,5.815289,2.555487,0.1231987,50.07603,0.002105687,0,0,2.023393,6.046784,0.9730131,-0.9177256,0.8680998,-0.9093219
